Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Alors (feat. CAPO)","Kurdo","KRISTALL","Deutsch","Playlist","DEXG92100058","0zBOXwDbCEM0Wbx3rqVdQb"
"Panama","GReeeN","Glückskind","Deutsch","Playlist","DEZC62340830","3qcreqi8RaGqahtJSQDxNI"
"Baddies","Aitch","Baddies","Deutsch","Playlist","QM6MZ2489483","66Bup3CXgRRl8z91EDHUIf"
"VEMPA","FOURTY","VEMPA","Deutsch","Playlist","FRX202445570","3pPMgoouYtezLiBTEeL9be"
"Kinder deiner Sonne","Lune","MAILAN","Deutsch","Playlist","DEKF22400401","6PBxhhQfrrX9d1nrRyETWl"
"Bisou :*","Lune","MAILAN","Deutsch","Playlist","DEKF22400407","22KhP6WmIYtF5SKlnxgFoy"
"NuR Du :/","Lune","MAILAN","Deutsch","Playlist","DEKF22400242","57rRFuUDGCBjQWlxoKGhR0"
"Tränen aus Kajal","CÉLINE","Instinkt","Deutsch","Playlist","DEQ022006118","21ejNiqWaIe99otCtD9unS"
"So So Def (feat. Summer Cem & Nimo)","Celo & Abdi","So So Def (feat. Summer Cem & Nimo)","Deutsch","Playlist","DEVY22400019","5g6kQitL4OSo9tWkWDGkNT"
"Wie beim ersten Mal","Nimo","Wie beim ersten Mal","Deutsch","Playlist","DECE72400353","4jhQOtHfWQq6GYkhvsAkOq"
"J-Lo","AriBeatz","Press Play","Deutsch","Playlist","DEYA11900037","3FCPOqUmiJsepiiHCoBYJ5"
"KEIN SCHLAF","Nimo","NIMORIGINAL","Deutsch","Playlist","DEUM71906150","1B89LtaW92jj4AqT7OZ0Fj"
"Zoey","Nimo","Zoey","Deutsch","Playlist","DEUM71807241","0dGSOCj6hdV5Nr0V8FjONc"
"Nie wieder","Nimo","Habeebeee","Deutsch","Playlist","DEQ121537040","65F822tpD9sLd0tKnCe98B"
"Nur wegen dir","Nimo","Nur wegen dir","Deutsch","Playlist","DEVY22000001","0ui2kVwPZKHaZxGhdIzBrp"
"Lambo Diablo GT (feat. Nimo)","CAPO","Alles auf Rot","Deutsch","Playlist","DEA621700837","6HxFJbQahRd5rWQ752D710"
"Leyla","Nimo","Leyla","Deutsch","Playlist","DEUM71807246","08OFGhKf7mK1BGhzMtXaqo"
"Jede Nacht","Schubi AKpella","Jede Nacht","Deutsch","Playlist","DEVY22100207","3eGI9ETrSY2nU1hbsohC0H"
"Blue Lagoon","GRiNGO","Blue Lagoon","Deutsch","Playlist","DEKF21900132","1h5MrUHi364AESVNuP0rIk"
"Bitter","Nimo","Habeebeee","Deutsch","Playlist","DEQ121537047","60JRRxmUz5GOBHWKwjpivb"
"ZART","Nimo","ZART","Deutsch","Playlist","DECE72102406","1WUXlAFlKIu7fixKZvQECX"
"Hol' mir dein Cousin","Zuna","Richtung Paradies","Deutsch","Playlist","DELJ81624887","0EDnvBfwhkj4R4Ye5BbecQ"
"Sorry Ekho","Nimo","Sorry Ekho","Deutsch","Playlist","DEA622402306","219nTiAbQrIuGCUPr9kFV6"
"KARMA","Nimo","KARMA","Deutsch","Playlist","DEUM71906151","6oX9RuILbVIglevEhbg8iM"
"BAD EYEZ","Nimo","BAD EYEZ","Deutsch","Playlist","DECE72100566","5dDQDduj3EaWrPIZ9bc8tj"
"069","Haftbefehl","Unzensiert","Deutsch","Playlist","DEUM71503851","1B2s3CpX2PV0YN7DkLSQ4b"
"Roller","Apache 207","Platte","Deutsch","Playlist","DEQ321900164","6hw1Sy9wZ8UCxYGdpKrU6M"
"Starboy","Luciano","Starboy","Deutsch","Playlist","DECE72401331","0Rgdhptwk0A3Clbu5RpYI1"
"Familia (feat. Morad)","Luciano","Seductive","Deutsch","Playlist","DECE72303347","11sME7QBXXMvBmjNr6sPIv"
"Island Chick","MERO","Island Chick","Deutsch","Playlist","DECE72401780","7pOnWrb3yXx3PeXPj2Zged"
"Rapstar","Amo","Rapstar","Deutsch","Playlist","DEKF22401278","57gjUsErLOYxTOqyiK6CVm"
"PLAYBOYBUNNIES","Jazeek","PLAYBOYBUNNIES","Deutsch","Playlist","DECE72402089","77p59nG1oU5pzd20rPxBwC"
"Cataleya","Samra","Cataleya","Deutsch","Playlist","DEFZ71800051","42hrHYe1Dw92eiZwWQF0sr"
"Ya Habibi","Samra","Ya Habibi","Deutsch","Playlist","CH7812416342","315qV7Sx21xfDerY4SC5nF"
"Bend Over","Jazeek","1709","Deutsch","Playlist","DECE72203526","1II8feQIWsGGDKQmyelfk4"
"Facetime","Dardan","Hypnotize","Deutsch","Playlist","DEWZ11800039","0oZyouBDStcJEUbTmSfys2"
"Neymar","Capital Bra","Berlin lebt","Deutsch","Playlist","DEWS21700044","50mQStZYV5QFgyGK9GOVZg"
"500 PS","Bonez MC","Palmen aus Plastik 2","Deutsch","Playlist","DEUM71803991","4UOXo3xWnxYdTf3sFyRaUG"
"Ohne mein Team","Bonez MC","Palmen aus Plastik","Deutsch","Playlist","DETX91500281","05Mp2UJulSttxQ4E6hQPH3"
"Palmen aus Plastik","Bonez MC","Palmen aus Plastik","Deutsch","Playlist","DETX91500279","6wHRm1KR8pzVDPdmR6Qovj"
"Ballin","Luciano","L.O.C.O.","Deutsch","Playlist","DEUM71802819","4PwQl3zVNOg1NUZzTOux8S"
"Benzema","Capital Bra","CB6","Deutsch","Playlist","DEFZ71800081","0gyO8zq1Hw5GTQ33EXcc40"
"One Night Stand","Capital Bra","Berlin lebt","Deutsch","Playlist","DEWS21700051","4i2DmyVwf29lEdmLGNTyGM"
"Mercedes","Eno","Wellritzstrasse","Deutsch","Playlist","DETM41610372","3FHppoOv1gMexzC9XyMCFz"
"5 Songs in einer Nacht","Capital Bra","Berlin lebt","Deutsch","Playlist","DEWS21700045","7pMc3ABRFP5oj6U9FfWmZE"
"Toto (feat. RAF Camora)","Noizy","Toto (feat. RAF Camora)","Deutsch","Playlist","DEA621800966","1fyvQWmRbW81M0xXKI1Rrk"
"Safari","Maxwell","Safari","Deutsch","Playlist","DETX91500458","6hjck7ERXicpsW51UkdHCA"
"Tamam Tamam","Summer Cem","Endstufe (Deluxe Edition)","Deutsch","Playlist","DEA621800476","2eRq2jwsZtb0uGH4qUsvT1"
"Chinchilla (feat. KC Rebell & Capital Bra)","Summer Cem","Endstufe (Deluxe Edition)","Deutsch","Playlist","DEA621800477","3a5qsP4xawpweFRXgzG6VP"
"Primo","RAF Camora","Anthrazit","Deutsch","Playlist","DEQ121748887","7y5chiQbuvviOYUfUmOPqo"
"Santorini (feat. Veysel)","Summer Cem","Endstufe (Deluxe Edition)","Deutsch","Playlist","DEA621800472","1ZQhnmtZ2tq1t3TzguTciR"
"Überlebt","Azet","Fast Life","Deutsch","Playlist","DEQ121753745","5ODK0R10oNrzGrZxRzwHvR"
"Meer","Luciano","L.O.C.O.","Deutsch","Playlist","DEUM71806501","1LcvTvRfWrQjrF6aymfugd"
"Baller los","MERO","YA HERO YA MERO","Deutsch","Playlist","DEQ021807983","1uNzKXVNwq7jwV0rhjXqLB"
"Kleiner Cabrón","Veysel","Hitman","Deutsch","Playlist","DEBL61700356","44x9yNoB69sjlC1plLsGuL"
"Bon Voyage","Miami Yacine","Casia Deluxe","Deutsch","Playlist","DEQ121749051","1VfSu8qtTf5PMi3d8XVZGj"
"DNA","KC Rebell","Hasso","Deutsch","Playlist","DECE71900051","6yL5RjG5eeFOE5iU7qPho8"
"Murcielago","KC Rebell","Maximum (Deluxe Edition)","Deutsch","Playlist","DEA621700935","39qlqpwVzRkQP6WsILfIB5"
"Ya Salam","Kurdo","Vision","Deutsch","Playlist","DETQ11400146","5fpujciVjGBhnR2XFx06E7"
"Kokaina","Miami Yacine","Casia Deluxe","Deutsch","Playlist","DELJ81616750","6bN6XXylz4unPfOCBIg0z5"
"Wolke 10","MERO","YA HERO YA MERO","Deutsch","Playlist","DEQ021807991","200cTjC6si5Xz9af2QeHi2"
"La Haine","Luciano","MILLIES","Deutsch","Playlist","DEUM71902319","1ERXF9U6jJlnhYMHRXSAKG"
"Airwaves","Pashanim","Airwaves","Deutsch","Playlist","DECE72000342","5CqkgDH8QZjSqqI3HmYxDD"
"Standard (feat. Trettmann, Gringo, Ufo361 & Gzuz)","KITSCHKRIEG","KitschKrieg","Deutsch","Playlist","DELV41801573","5WxzuqQCeCsFlUEStzTp3K"
"Sex ohne Grund","Ali Bumaye","Rumble in the Jungle","Deutsch","Playlist","DEFZ71600260","6Dc7Ruu0S65BcZGoFNacRP"
"Heute mit mir","Nimo","K¡K¡","Deutsch","Playlist","DEUM71706133","7fUWZUNj5qbEuoL6K9947g"
"AMG","Azzi Memo","Trap 'n' Haus (Deluxe Edition)","Deutsch","Playlist","DEQ121746867","0EONVeul4RFbWdFFL9tHOf"
"AMG2","Azzi Memo","AMG2","Deutsch","Playlist","DEQ121753002","2wKW9p69GADSouDOawO5oo"
"Casanova","Summer Cem","Endstufe (Deluxe Edition)","Deutsch","Playlist","DEA621800470","0jB0RNZIfaihaDKNmdrI40"
"Magisch","Olexesh","Magisch","Deutsch","Playlist","DEVY21800006","5hqelGWfhBo8On7e7Kk5HD"
"Wie im Traum","Ardian Bujupi","Rahat","Deutsch","Playlist","DEE861901632","1jcgbCEa1Et4MEKk0XiWRu"
"Scheiß auf eure Party","Ufo361","Ich bin 2 Berliner","Deutsch","Playlist","DELJ81613850","1Syhm4vkn6n2DYuFnyI60s"
"Jay Jay","MERO","YA HERO YA MERO","Deutsch","Playlist","DEQ021807988","6IyzjffrKrehgqGbuUuLJt"
"Nummer 1","Zuna","Mele7","Deutsch","Playlist","DEQ121643672","7rhVer0f2bF0lkBIC2z1mx"
"Lüg mich an","Jazeek","Lüg mich an","Deutsch","Playlist","DECE72303384","2lckikJBGAkGIXXq6ZPjsr"
"CC","Jazeek","1709","Deutsch","Playlist","DECE72203146","4a84lPY76pFWTxWL4x4iCC"
"Ma Baby","Jazeek","Ma Baby","Deutsch","Playlist","DECE72402525","4495xO2HkmqoYIxQO2FvAH"
"LID","LACAZETTE","LID","Deutsch","Playlist","DGA0L2443429","5U8jvRKKzcc3XjBB2CNZaZ"
"In a minute","Luciano","In a minute","Deutsch","Playlist","DECE72402709","1LNoGh5OXX51mulO24mfg1"
"Mittelmeer","Nimo","Mittelmeer","Deutsch","Playlist","DEA612400133","5iviRbXQMPPJJrK6nTjYGA"
"Butcher","Sosa La M","Butcher","Deutsch","Playlist","DEE862401946","0uSHA5dbsCRMmzbidwhKwl"
"Ausländer","Mert","Ausländer","Deutsch","Playlist","DEUE11505016","0h8cJsgN0ZyDGbMP9rY4Df"
"RADW","Haftbefehl","RADW","Deutsch","Playlist","DEUM72000982","4IrH8L9pkMVSeA6uJZjtT8"
"Ma colombe - German Remix","Nej","Ma colombe (German Remix)","Deutsch","Playlist","FRX872133101","3eHXManuHWprZC5hBTGwE4"
"Leck Sibbi","Nimo","Habeebeee","Deutsch","Playlist","DEQ121537053","6D8vcrnVs7oMQ6K9Y44cHt"
"Chabos wissen wer der Babo ist","Haftbefehl","Chabos wissen wer der Babo ist","Deutsch","Playlist","DEUM71800521","6kjBafSuYC8gClzfYu7T1t"
"Jim Beam & Voddi","AK AUSSERKONTROLLE","A.S.S.N.","Deutsch","Playlist","DETX91500586","0b85BAqtnPxgxHn0nkegXd"
"Delale","SHABAB","Delale","Deutsch","Playlist","DECE72500244","2sbg1omBXnFOeHvbWyR1Vv"
"Wenn der Himmel weint","Bausa","Wenn der Himmel weint","Deutsch","Playlist","DEA612500087","6yT1Qf1EKbUfiROeOWtzeN"
"Jasmin","Aymen","Jasmin","Deutsch","Playlist","DEKF22500119","6rjpIgtN4FOujp5DbZZnCh"
"Northside","Sosa La M","1789","Deutsch","Playlist","DEE862500207","3COS5kuid5EKAfN2klE84V"
"Dunya","Amo","Dunya","Deutsch","Playlist","DEKF22500179","4eIdT2bW2gaTDdJnMgt7Ue"
"Tach Tach","Coup","Der Holland Job","Deutsch","Playlist","DEQ321600185","7B5bGlw1n5iEIMsUmGTypc"
"Sorry","Veysel","Sorry","Deutsch","Playlist","DEXJ21800038","4usaWLgpOAmNT8RLWVmNiB"
"Marlboro Rot","Samra","Marlboro Rot","Deutsch","Playlist","DECE71900274","4e6l3QGj4RZesjDLVqYk3H"
"Komm wir chillen (feat. Yonii & Bausa)","CAPO","Alles auf Rot","Deutsch","Playlist","DEA621700844","4BtGQ89Xgmf9NmnFD9RBRc"
"AKON","Jazeek","MOST VALUABLE PLAYA","Deutsch","Playlist","DECE72500346","6YFNhYf7A33biVmMG1JSQf"
"CRAZYYY","Jazeek","MOST VALUABLE PLAYA","Deutsch","Playlist","DECE72500336","4WRPZc8xQsolMusrLy2sxn"
"Wieder Lila","Samra","Wieder Lila","Deutsch","Playlist","DECE71900271","2kkcJ8tSDV42LdWcPjy6We"
"Plug","Aymen","Plug","Deutsch","Playlist","DEKF22500525","5XlJP2J81wF20QariDKRJW"
"Hayate","Luciano","L.O.C.O.","Deutsch","Playlist","DEUM71806512","2vzQotgEoJMvqOQp9XxqFR"
